,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm
1707,CHEMBL1077363,CCCC[C@H]1CN(C[C@H]2CC[C@H](OCC)CC2)C(=O)OC12CCN(C1C[C@@H]3CN(C(=O)c4c(C)ccnc4C)C[C@@H]3C1)CC2,active,34.0,608.8679999999999,6.237540000000008,0.0,6.0,34.0
1708,CHEMBL1077364,CCCC[C@H]1CN(C[C@H]2CC[C@H](OC(C)C)CC2)C(=O)OC12CCN(C1C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C1)CC2,active,23.0,623.883,6.021040000000007,0.0,7.0,23.0
1709,CHEMBL1077365,CCCC[C@H]1CN(C[C@H]2CC[C@H](OC3CC3)CC2)C(=O)OC12CCN(C1C[C@@H]3CN(C(=O)c4c(C)ncnc4C)C[C@@H]3C1)CC2,active,27.0,621.867,5.775040000000007,0.0,7.0,27.0
1710,CHEMBL1081625,Cc1nnc(C)n1[C@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CCOC3)c3cccc(F)c3)C[C@@H]2C1,active,35.0,455.57800000000026,3.2010400000000017,1.0,6.0,35.0
1711,CHEMBL1081476,Cc1nnc(C)n1[C@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CC(F)(F)C3)c3cccc(F)c3)C[C@@H]2C1,active,6.0,475.5590000000002,4.209840000000003,1.0,5.0,6.0
1712,CHEMBL1081477,Cc1nnc(C)n1[C@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CCOCC3)c3cccc(F)c3)C[C@@H]2C1,active,43.0,469.6050000000003,3.591140000000002,1.0,6.0,43.0
1713,CHEMBL1081486,Cc1nnc(C)n1[C@@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CCOC3)c3cccc(F)c3)C[C@@H]2C1,active,18.0,455.57800000000026,3.2010400000000017,1.0,6.0,18.0
1714,CHEMBL1082191,Cc1nnc(C)n1[C@@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CC(F)(F)C3)c3cccc(F)c3)C[C@@H]2C1,active,6.0,475.5590000000002,4.209840000000003,1.0,5.0,6.0
1715,CHEMBL1082201,Cc1nnc(C)n1[C@@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CCOCC3)c3cccc(F)c3)C[C@@H]2C1,active,30.0,469.6050000000003,3.591140000000002,1.0,6.0,30.0
1716,CHEMBL1082202,Cc1nnc(C)n1[C@@H]1C[C@@H]2CN(CC[C@H](NC(=O)C3CCC(F)(F)CC3)c3cccc(F)c3)C[C@@H]2C1,active,8.0,503.6130000000003,4.990040000000004,1.0,5.0,8.0
1717,CHEMBL1087533,Cc1nnc(C)n1C1CCN(CC[C@H](NC(=O)C2CCC(F)(F)CC2)c2cccc(F)c2)CC1,active,38.0,477.5750000000003,4.744040000000004,1.0,5.0,38.0
1718,CHEMBL1087534,Cc1nnc(C)n1[C@@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCOC1)c1cccc(F)c1,active,7.0,455.5780000000002,3.486040000000002,1.0,6.0,7.0
1719,CHEMBL1087535,Cc1nnc(C)n1[C@@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CC(F)(F)C1)c1cccc(F)c1,active,5.0,475.55900000000014,4.4948400000000035,1.0,5.0,5.0
1720,CHEMBL1087028,Cc1nnc(C)n1[C@@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCOCC1)c1cccc(F)c1,active,13.0,469.60500000000025,3.876140000000002,1.0,6.0,13.0
1721,CHEMBL1087153,Cc1nnc(C)n1[C@@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1cccc(F)c1,active,5.0,503.6130000000002,5.275040000000005,1.0,5.0,5.0
1722,CHEMBL1201187,Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,active,1.4,513.6770000000002,5.950920000000006,1.0,5.0,1.4
1723,CHEMBL1080794,CCCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,51.0,523.7620000000003,6.333940000000008,0.0,4.0,51.0
1724,CHEMBL1077988,CCCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1CCN(C(=O)c3ccccc3C)CC1)CC2,active,100.0,509.73500000000035,6.025520000000007,0.0,4.0,100.0
1725,CHEMBL1077989,CCCCC1N(CC2CCCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,18.0,509.73500000000035,5.943840000000007,0.0,4.0,18.0
1726,CHEMBL1078072,CCCCC1N(CC2CCOCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,24.0,525.7340000000004,5.180240000000006,0.0,5.0,24.0
1727,CHEMBL1078647,CCCCC1N(Cc2ccccc2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,144.0,517.7140000000004,5.953840000000007,0.0,4.0,144.0
1728,CHEMBL1078648,CCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,300.0,509.73500000000035,5.943840000000007,0.0,4.0,300.0
1729,CHEMBL1077779,CCCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,10.0,537.7890000000002,6.7240400000000085,0.0,4.0,10.0
1730,CHEMBL1077912,CCCCC1N(CC2CCCCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,7.0,539.7650000000002,5.514040000000006,0.0,6.0,7.0
1731,CHEMBL1078659,CCCCC1N(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,58.0,541.7370000000002,4.360340000000003,0.0,7.0,58.0
1732,CHEMBL1078753,CCCCC1CN(CC2CCCCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,30.0,537.7890000000002,6.581540000000008,0.0,4.0,30.0
1733,CHEMBL1078013,CCCCC1CN(CC2CCCCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,68.0,539.7650000000002,5.371540000000006,0.0,6.0,68.0
1734,CHEMBL1078014,CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)cccc3C)CC1)CC2,active,89.0,539.7610000000003,5.427840000000006,0.0,5.0,89.0
1735,CHEMBL1078015,CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,76.0,541.7370000000002,4.217840000000003,0.0,7.0,76.0
1736,CHEMBL1078723,CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,25.0,555.7640000000001,4.607940000000004,0.0,7.0,25.0
1737,CHEMBL1078141,CCCC[C@@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,100.0,555.7640000000001,4.607940000000004,0.0,7.0,100.0
1738,CHEMBL1078231,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,active,25.0,555.7640000000001,4.607940000000004,0.0,7.0,25.0
1739,CHEMBL1078936,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ccnc3C)CC1)CC2,active,61.0,554.7760000000002,5.212940000000006,0.0,6.0,61.0
